       Month           VIRGO(new)      VIRGO(old)      DIARAD(org)     PMO6V(org)
       92.000000       1361.5338       1366.4788       1366.8238       1366.1273
       93.000000       1361.3946       1366.3392       1366.6860       1365.9815
       94.000000       1360.2433       1365.1837       1365.5321       1364.8288
       95.000000       1361.1783       1366.1220       1366.4610       1365.7812
       96.000000       1361.1517       1366.0954       1177.3672       1365.7336
       97.000000       1361.3330       1366.2773       1366.6865       1365.8727
       98.000000       1361.0639       1366.0073       1366.4151       1365.5985
       99.000000       1267.0290       1271.6540       1224.7378       1271.2928
       100.00000       1078.5374       1082.5242       1082.8296       1082.2183
       101.00000       1361.0385       1365.9817       1366.3322       1318.3767
       102.00000       1313.8423       1318.6257       1271.6948       1271.0305
       103.00000       1360.5334       1365.4748       1365.8489       1365.1014
       104.00000       1360.9742       1365.9172       1366.2707       1318.3113
       105.00000       1361.1341       1366.0777       1271.8721       1365.7341
       106.00000       1360.8570       1365.7996       1366.1335       1365.4618
       107.00000       1314.1573       1318.9419       1319.2642       1271.3637
       108.00000       1361.2460       1366.1900       1366.5236       1365.8460
       109.00000       1360.8196       1365.7620       1366.1171       1365.4076
       110.00000       1360.9870       1365.9300       1366.2751       1365.5809
       111.00000       1360.9992       1365.9423       1366.2940       1365.5789
       112.00000       1360.8344       1365.7769       1366.1580       1365.3905
       113.00000       1360.8600       1365.8026       1366.2081       1365.3919
       114.00000       1360.7301       1365.6723       1366.0691       1365.2709
       115.00000       1360.9501       1365.8930       1366.2808       1365.5049
       116.00000       1360.9358       1365.8787       1366.2424       1365.5144
       117.00000       1360.7656       1365.7078       1366.0321       1365.3712
       118.00000       1360.9751       1365.9181       1366.2615       1365.5706
       119.00000       1360.7500       1365.6922       1366.0280       1365.3511
       120.00000       1360.9013       1365.8440       1366.1717       1365.5094
       121.00000       1360.8751       1365.8178       1366.1653       1365.4695
       122.00000       1360.8722       1365.8148       1366.1709       1365.4577
       123.00000       1360.7228       1365.6649       1176.9650       1365.2992
       124.00000       1360.8601       1365.8027       1177.1296       1365.4083
       125.00000       1360.9465       1365.8894       1366.2979       1365.4798
       126.00000       1360.8108       1365.7532       1366.1597       1365.3425
       127.00000       1360.8217       1365.7642       1366.1544       1365.3737
       128.00000       1360.6184       1365.5601       1365.9035       1365.2115
       129.00000       1360.7564       1365.6986       1271.4762       1365.3811
       130.00000       1360.7286       1365.6708       1366.0025       1365.3367
       131.00000       1360.5200       1365.4613       1365.8013       1365.1140
       132.00000       1360.5449       1365.4863       1318.5433       1365.1646
       133.00000       1313.4978       1318.2799       1318.5927       1317.9634
       134.00000       1360.6374       1365.5792       1318.6601       1365.2380
       135.00000       1360.6363       1365.5780       1318.6551       1365.2326
       136.00000       1360.5841       1365.5256       1365.8759       1365.1709
       137.00000       1360.5766       1365.5182       1365.8755       1365.1513
       138.00000       1360.6794       1365.6213       1366.0246       1365.2165
       139.00000       1360.6460       1365.5878       1365.9857       1365.1914
       140.00000       1360.7041       1365.6462       1365.9989       1365.2826
       141.00000       1360.6471       1365.5889       1318.6651       1365.2429
       142.00000       1360.6153       1365.5570       1365.9115       1365.2042
       143.00000       1360.5879       1365.5295       1365.8567       1365.1937
       144.00000       1360.5814       1365.5230       1365.8506       1365.1918
       145.00000       1360.6642       1365.6061       1365.9342       1365.2751
       146.00000       1360.6473       1365.5891       1318.6884       1317.9892
       147.00000       1360.6281       1365.5698       1365.9678       1365.1712
       148.00000       1360.6045       1365.5462       1365.9536       1365.1375
       149.00000       1360.6708       1365.6127       1366.0043       1365.2001
       150.00000       1360.5982       1365.5398       1271.4527       1365.1114
       151.00000       1360.5791       1365.5207       1176.9191       1365.1020
       152.00000       1360.5832       1365.5248       1271.3916       1365.1256
       153.00000       1360.5337       1365.4751       1365.8437       1365.1014
       154.00000       1360.5443       1365.4858       1365.8248       1365.1313
       155.00000       1360.5756       1365.5171       1082.3352       1365.1581
       156.00000       1360.5307       1365.4721       1271.3223       1365.1162
       157.00000       1360.5054       1365.4467       1318.5191       1365.1101
       158.00000       1360.5602       1365.5017       940.55241       1365.1520
       159.00000       1360.5162       1365.4575       1318.5699       1365.0933
       160.00000       1360.5124       1365.4538       1365.8025       1365.0969
       161.00000       1360.5608       1365.5023       1176.8336       1365.1434
       162.00000       1360.5648       1365.5063       1365.8819       1365.1344
       163.00000       1313.4330       1318.2150       1318.5600       1223.4091
       164.00000       1360.5366       1365.4781       846.02721       1365.1382
       165.00000       1360.5267       1365.4680       1318.5612       1365.1196
       166.00000       1360.5770       1365.5186       1365.8757       1365.1585
       167.00000       1360.5846       1365.5262       1271.3503       1365.1824
       168.00000       1360.5977       1365.5394       1365.8883       1365.1884
       169.00000       1360.5948       1365.5364       1365.8885       1365.1826
       170.00000       1360.7003       1365.6423       1224.1875       1365.3119
       171.00000       1360.8152       1365.7577       1318.8217       1365.4241
       172.00000       1360.7810       1365.7233       1366.1057       1365.3422
       173.00000       1360.8653       1365.8079       1366.1848       1176.4615
       174.00000       1360.7283       1365.6704       1366.0112       1365.3281
       175.00000       1360.7321       1365.6742       1366.0255       1365.3223
